boy_rate,学位名称,最近五年平均薪酬,girl_rate,专业名称,id,level1,本科专科,level2,专业大类,level3,专业小类,学制,name,rank,平均薪酬,专业代码,special_id,view_month,view_total,view_week
40,哲学学士,12800,60,哲学,gkspecial1,1,本科(普通),3,哲学,34,哲学类,四年,哲学,1096,195393,010101,1,896,2585374,302
51,哲学学士,17800,49,逻辑学,gkspecial2,1,本科(普通),3,哲学,34,哲学类,四年,逻辑学,1095,208886,010102,2,263,1137926,81
0,哲学学士,11600,0,伦理学,gkspecial1098,1,本科(普通),3,哲学,34,哲学类,四年,伦理学,0,0,010104T,1098,95,717641,33
32,哲学学士,12200,68,宗教学,gkspecial3,1,本科(普通),3,哲学,34,哲学类,四年,宗教学,1094,0,010103K,3,255,664230,95
0,经济学学士,14600,0,商务经济学,gkspecial1101,1,本科(普通),4,经济学,35,经济学类,四年,商务经济学,0,0,020105T,1101,303,3330204,127
38,经济学学士,12100,62,经济学,gkspecial4,1,本科(普通),4,经济学,35,经济学类,四年,经济学,1093,121601,020101,4,1529,2613657,628
44,经济学学士,21300,56,资源与环境经济学,gkspecial1100,1,本科(普通),4,经济学,35,经济学类,四年,资源与环境经济学,0,109114,020104T,1100,322,2376831,125
33,经济学学士,11500,67,经济统计学,gkspecial5,1,本科(普通),4,经济学,35,经济学类,四年,经济统计学,1092,130041,020102,5,531,728093,237
38,经济学学士,12100,62,国民经济管理,gkspecial1099,1,本科(普通),4,经济学,35,经济学类,四年,国民经济管理,0,96485,020103T,1099,142,716814,60
43,经济学学士,13100,57,能源经济,gkspecial1102,1,本科(普通),4,经济学,35,经济学类,四年,能源经济,0,104936,020106T,1102,133,704342,58
0,经济学学士,0,0,数字经济,gkspecial8320,1,本科(普通),4,经济学,35,经济学类,四年,数字经济,0,174193,020109T,8320,277,419819,104
0,经济学学士,0,0,经济工程,gkspecial8319,1,本科(普通),4,经济学,35,经济学类,四年,经济工程,0,0,020108T,8319,71,215175,35
0,经济学学士,0,0,劳动经济学,gkspecial8318,1,本科(普通),4,经济学,35,经济学类,四年,劳动经济学,0,121853,020107T,8318,66,194353,29
29,经济学学士,11000,71,财政学,gkspecial6,1,本科(普通),4,经济学,36,财政学类,四年,财政学,1091,121798,020201K,6,494,1360625,220
28,经济学学士,12100,72,税收学,gkspecial7,1,本科(普通),4,经济学,36,财政学类,四年,税收学,1090,135562,020202,7,309,633792,144
0,经济学学士,0,0,国际税收,gkspecial9321,1,本科(普通),4,经济学,36,财政学类,四年,国际税收,0,106063,020203TK,9321,58,22823,21
36,经济学学士,13500,64,金融学,gkspecial8,1,本科(普通),4,经济学,37,金融学类,四年,金融学,1089,119999,020301K,8,1988,2340519,856
43,经济学学士,16600,57,金融工程,gkspecial9,1,本科(普通),4,经济学,37,金融学类,四年,金融工程,1088,127493,020302,9,677,1718245,257
45,经济学学士,14500,55,投资学,gkspecial11,1,本科(普通),4,经济学,37,金融学类,四年,投资学,1086,123815,020304,11,397,849700,188
35,经济学学士,15500,65,经济与金融,gkspecial1105,1,本科(普通),4,经济学,37,金融学类,四年,经济与金融,0,122633,020307T,1105,302,838016,140
42,经济学学士,13200,58,金融数学,gkspecial1103,1,本科(普通),4,经济学,37,金融学类,四年,金融数学,0,134415,020305T,1103,265,817602,101
0,"经济学学士,理学学士",0,0,精算学,gkspecial1263,1,本科(普通),4,经济学,37,金融学类,四年,精算学,0,132207,020308T,1263,226,518188,85
32,"经济学学士,管理学学士",12300,68,信用管理,gkspecial1104,1,本科(普通),4,经济学,37,金融学类,四年,信用管理,0,126722,020306T,1104,84,423697,35
0,经济学学士,0,0,互联网金融,gkspecial8321,1,本科(普通),4,经济学,37,金融学类,四年,互联网金融,0,131537,020309T,8321,90,310746,43
35,经济学学士,14200,65,保险学,gkspecial10,1,本科(普通),4,经济学,37,金融学类,四年,保险学,1087,123876,020303,10,202,265165,91
0,经济学学士,0,0,金融科技,gkspecial8322,1,本科(普通),4,经济学,37,金融学类,四年,金融科技,0,135643,020310T,8322,232,251522,83
0,经济学学士,0,0,金融审计,gkspecial9774,1,本科(普通),4,经济学,37,金融学类,四年,金融审计,0,136308,020311TK,9774,117,16404,52
